Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent
Suriname,79302.0,0.0,1327.0,0.0,49396.0,0.0,28579.0,0.0,235824.0,596134.0,South America
Channel Islands,73609.0,0.0,166.0,0.0,72059.0,0.0,1384.0,0.0,1252808.0,176760.0,Europe
French Polynesia,72648.0,0.0,648.0,0.0,3990.0,0.0,68010.0,7.0,76428.5,283844.0,Australia/Oceania
Eswatini,70284.0,31.0,1397.0,1.0,68764.0,34.0,123.0,11.0,1012397.0,1181880.0,Africa
Barbados,67256.0,446.0,389.0,1.0,63424.0,0.0,3443.0,0.0,640085.0,288011.0,North America
Fiji,64524.0,0.0,862.0,0.0,62677.0,0.0,985.0,0.0,506642.0,908189.0,Australia/Oceania
Madagascar,64121.0,0.0,1391.0,0.0,59370.0,0.0,3360.0,14.0,418849.0,28977264.0,Africa
Guyana,63413.0,6.0,1228.0,0.0,62092.0,4.0,93.0,1.0,590638.0,793414.0,South America
Sudan,62093.0,0.0,4930.0,0.0,46402.0,0.0,10761.0,0.0,562941.0,45699284.0,Africa
New Caledonia,60457.0,0.0,312.0,0.0,60064.0,0.0,81.0,9.0,98964.0,290460.0,Australia/Oceania
Mauritania,58683.0,0.0,982.0,0.0,57693.0,0.0,8.0,0.0,799187.0,4870479.0,Africa
Belize,57419.0,0.0,676.0,0.0,56534.0,0.0,209.0,6.0,534770.0,410674.0,North America
Bhutan,57340.0,737.0,20.0,0.0,52774.0,695.0,4546.0,3.0,2279630.0,786968.0,Asia
Cabo Verde,56004.0,3.0,401.0,0.0,55538.0,1.0,65.0,23.0,400982.0,566904.0,Africa
Syria,55795.0,3.0,3150.0,0.0,52090.0,12.0,555.0,0.0,146269.0,18268844.0,Asia
Taiwan,51296.0,4202.0,856.0,0.0,23454.0,278.0,26986.0,0.0,14214319.0,23894707.0,Asia
Gabon,47597.0,3.0,303.0,0.0,47282.0,2.0,12.0,0.0,1592483.0,2320633.0,Africa
Papua New Guinea,43732.0,0.0,649.0,0.0,43025.0,0.0,58.0,7.0,249149.0,9253330.0,Australia/Oceania
Seychelles,42079.0,0.0,165.0,0.0,41260.0,0.0,654.0,0.0,663805.0,99448.0,Africa
Curaçao,41966.0,314.0,273.0,2.0,41251.0,451.0,442.0,3.0,496693.0,165306.0,North America
Andorra,41013.0,0.0,153.0,0.0,40343.0,0.0,517.0,14.0,249838.0,77488.0,Europe
Burundi,38887.0,34.0,38.0,0.0,773.0,0.0,38076.0,0.0,345742.0,12530563.0,Africa
Mauritius,37656.0,0.0,990.0,0.0,35656.0,0.0,1010.0,0.0,358675.0,1275583.0,Africa
Mayotte,37038.0,0.0,187.0,0.0,2964.0,0.0,33887.0,0.0,176919.0,284709.0,Africa
Togo,36977.0,4.0,273.0,0.0,36679.0,0.0,25.0,0.0,727740.0,8629335.0,Africa
Guinea,36459.0,0.0,440.0,0.0,35976.0,0.0,43.0,8.0,660107.0,13776395.0,Africa
Faeroe Islands,34658.0,0.0,28.0,0.0,7693.0,0.0,26937.0,5.0,778000.0,49199.0,Europe
Aruba,34589.0,0.0,212.0,0.0,34251.0,0.0,126.0,2.0,177885.0,107586.0,North America
Tanzania,33864.0,0.0,803.0,0.0,46402.0,0.0,0.0,7.0,663805.0,62808110.0,Africa
Bahamas,33463.0,17.0,789.0,0.0,32310.0,5.0,364.0,11.0,229817.0,400037.0,North America
Lesotho,32910.0,0.0,697.0,0.0,24155.0,0.0,8058.0,0.0,431221.0,2172951.0,Africa
Mali,30727.0,11.0,731.0,0.0,29795.0,1.0,201.0,0.0,663805.0,21304609.0,Africa
Haiti,30640.0,0.0,835.0,0.0,29389.0,0.0,416.0,0.0,132422.0,11653807.0,North America
Isle of Man,28416.0,0.0,87.0,0.0,26794.0,0.0,1535.0,0.0,150753.0,85846.0,Europe
